playlist_idx,cluster,tracks_to_predict,random_recommendations,collaborative_filtering_recommendations,content_based_unweigted_recommendations,content_based_weigted_recommendations,hybrid_recommendations
8546,3,"['64853' '154554' '121383' '83828' '84781' '132444' '104898' '95727'
 '77784' '241619']","[65404, 208288, 170857, 91842, 242988, 71078, 37674, 173219, 196289, 117206, 7956, 66203, 128320, 13438, 245705, 166017, 73935, 224809, 185954, 162696, 131806, 150577, 40242, 79990, 234539, 47161, 172915, 219696, 52849, 158012, 186844, 75880, 7962, 32958, 164782, 245796, 177383, 120027, 139486, 197503, 107004, 195355, 195602, 104261, 120016, 147776, 206256, 99178, 224913, 145606]","[82207, 129898, 168149, 48091, 87043, 243721, 158749, 168507, 23543, 186858, 176401, 111887, 175642, 55648, 249304, 135769, 155540, 79686, 36852, 148753, 105644, 155604, 246139, 38245, 74117, 45402, 7580, 238860, 58141, 239420, 141317, 239011, 7267, 72522, 79258, 93988, 147317, 10137, 146199, 246081, 108071, 160679, 245331, 97130, 31007, 165123, 157693, 103195, 193941, 147280]","[147304, 64892, 187873, 184315, 183873, 97330, 117402, 10734, 48085, 208382, 49021, 150640, 48243, 168149, 56322, 133974, 210761, 12646, 63759, 156665, 109202, 225769, 175772, 66056, 108071, 151898, 215273, 217870, 192049, 126201, 160679, 129186, 52260, 48964, 117374, 251229, 208248, 226293, 82207, 93821, 196360, 67042, 25756, 107887, 14226, 23085, 74825, 191240, 169451, 43375]","[129186, 10939, 21098, 196784, 26201, 87172, 70137, 27834, 208382, 184315, 211890, 30833, 58351, 147304, 218600, 197858, 48091, 133045, 26644, 73995, 215273, 153676, 53441, 97130, 48085, 216562, 4667, 93988, 251229, 25756, 131336, 251282, 235670, 66056, 249976, 80118, 72347, 53327, 38462, 155540, 116728, 181205, 245905, 30099, 133974, 120589, 65680, 4961, 105371, 123259]","[82207, 129898, 168149, 48091, 186858, 111887, 243721, 158749, 175642, 23543, 87043, 168507, 55648, 176401, 249304, 135769, 7580, 148753, 45402, 155540, 246139, 74117, 146199, 79686, 155604, 36852, 238860, 157693, 105644, 147317, 239420, 97130, 147280, 239011, 58141, 7267, 141317, 165123, 100318, 85608, 103195, 160679, 31007, 10137, 79258, 245331, 95490, 158000, 108071, 101549]"
8556,1,"['91718' '90394' '199074' '151279' '173081' '60822' '42658' '203501'
 '249785' '24684']","[34207, 78491, 223762, 86876, 140923, 54663, 86928, 179076, 67309, 94410, 215363, 157948, 113839, 186853, 208456, 41049, 179834, 245292, 64877, 38799, 65878, 150450, 102725, 68057, 139605, 108258, 35579, 193999, 28609, 221602, 123064, 202233, 220927, 100071, 145920, 230878, 91522, 219375, 209134, 133852, 232348, 105686, 11458, 140746, 383, 43028, 30760, 238520, 242103, 229591]","[20673, 247450, 118317, 228264, 249785, 212881, 104659, 251617, 14281, 2180, 201211, 77995, 180819, 35237, 168606, 206931, 122853, 73807, 202104, 104413, 94251, 125282, 242974, 231840, 249109, 33882, 39349, 109660, 250228, 152463, 183213, 116049, 246233, 149739, 180201, 191313, 251973, 227395, 181596, 8706, 207476, 36372, 224295, 102026, 57572, 217965, 38529, 6765, 78987, 202106]","[208248, 129186, 29052, 167186, 234445, 14364, 241891, 249785, 251276, 97301, 232281, 26659, 235385, 180201, 72973, 32156, 219881, 237495, 29790, 64892, 223858, 64166, 153844, 167726, 224295, 85875, 58917, 121437, 218005, 166671, 246233, 107940, 112272, 86452, 250306, 12343, 219637, 63352, 159098, 76387, 124785, 37636, 132502, 251966, 144402, 223154, 27412, 244061, 103098, 44021]","[208248, 129186, 234445, 96552, 232281, 96091, 249785, 240182, 250382, 101816, 191177, 119775, 250210, 60873, 53989, 44263, 10113, 129429, 12059, 153676, 72286, 247320, 235531, 167653, 107627, 73807, 129035, 82207, 136468, 159950, 21217, 104510, 66971, 103098, 237495, 235367, 24489, 63221, 203914, 109660, 203882, 53105, 251276, 16827, 42847, 10377, 109085, 97130, 116478, 97412]","[20673, 118317, 247450, 228264, 249785, 212881, 104659, 251617, 14281, 2180, 206931, 201211, 122853, 168606, 73807, 77995, 180819, 104413, 33882, 94251, 249109, 109660, 125282, 39349, 202104, 116049, 231840, 250228, 191313, 102026, 242974, 246233, 224295, 6765, 181596, 8706, 227395, 36372, 183213, 180201, 149739, 251973, 207476, 237495, 38529, 35237, 181349, 152463, 78987, 79059]"
8558,3,"['237641' '154228' '50418' '125257' '66918' '142365' '2207' '144461'
 '139330' '143547']","[79594, 140243, 125671, 40355, 178990, 6506, 92250, 2257, 14480, 37243, 244912, 199157, 194404, 114813, 54335, 105127, 241774, 118917, 205061, 22521, 11894, 184965, 168993, 217394, 172959, 71179, 54520, 23728, 219992, 1371, 72856, 171258, 2875, 188636, 43932, 58898, 17227, 167319, 68508, 201824, 89158, 136945, 197109, 154374, 48618, 44342, 32667, 75035, 129027, 55491]","[27407, 251849, 216540, 206765, 207513, 128223, 237293, 142102, 52357, 241312, 148728, 11830, 83674, 118618, 68844, 192503, 37844, 208452, 209437, 166576, 35332, 47954, 249109, 39687, 86861, 178741, 24902, 98873, 92210, 154652, 233897, 180201, 170409, 242528, 220883, 121753, 245084, 63477, 249785, 100424, 105231, 235294, 37657, 3759, 149636, 44686, 76162, 45282, 61930, 129898]","[178920, 130032, 208248, 26657, 169451, 76387, 114648, 109597, 248148, 41721, 228192, 55648, 102881, 173524, 131254, 31945, 135471, 161270, 129616, 27063, 34168, 23360, 22771, 19789, 30099, 82687, 58897, 171412, 5256, 58351, 232281, 71107, 226760, 84350, 55234, 3071, 188600, 210107, 79611, 219580, 136468, 16065, 14312, 113759, 34977, 196360, 72286, 208382, 172071, 208202]","[208248, 153676, 58351, 72286, 235354, 194450, 130032, 26657, 73995, 7897, 112206, 23360, 3071, 97904, 129035, 10939, 129186, 31945, 226760, 87172, 44021, 76387, 173524, 171412, 178920, 133045, 208382, 19789, 131254, 84350, 184159, 136468, 79611, 219580, 17147, 125036, 81802, 249460, 217183, 63221, 41541, 228238, 151898, 244449, 118771, 188600, 156815, 71135, 230872, 185765]","[27407, 251849, 216540, 206765, 237293, 52357, 207513, 148728, 128223, 208452, 241312, 121753, 166576, 92210, 249109, 37844, 129898, 83674, 154652, 68844, 66741, 86861, 209437, 192503, 82207, 39687, 245084, 35332, 178741, 180201, 142102, 24902, 168149, 63477, 76162, 20205, 208248, 233897, 48091, 118618, 148390, 98873, 242528, 205293, 183625, 188391, 27804, 102410, 15981, 149636]"
8564,3,"['166969' '193856' '48713' '72679' '82100' '199671' '207038' '238531'
 '73807' '40844']","[130908, 110786, 103594, 77132, 182374, 167642, 51738, 44732, 197336, 118349, 31975, 142576, 128721, 77236, 203466, 122938, 107128, 210048, 15461, 38504, 76806, 30550, 166875, 164755, 128741, 193777, 171830, 102468, 125621, 12935, 247312, 219137, 11694, 242739, 15462, 249799, 174016, 69581, 242437, 183281, 208734, 181859, 14018, 151843, 171410, 198560, 86625, 177879, 100289, 234097]","[212881, 94251, 73807, 122853, 181349, 72679, 181596, 123705, 150019, 219637, 221104, 29052, 35237, 187591, 151180, 218307, 61398, 6666, 35659, 220747, 248058, 251617, 162121, 232829, 103098, 8706, 224295, 85574, 6765, 26659, 247450, 115704, 48713, 104659, 181839, 116522, 30287, 144388, 250210, 22429, 70641, 11192, 119775, 249785, 24004, 31550, 31768, 120481, 48557, 102026]","[208248, 129186, 234445, 237495, 14364, 73995, 29052, 235385, 219881, 118771, 249785, 153844, 241891, 97301, 181596, 218005, 29790, 58917, 63352, 32156, 6666, 223154, 103098, 56594, 223858, 64892, 159098, 107940, 76387, 200121, 167186, 43445, 224528, 153727, 227093, 232281, 58651, 72973, 121437, 154148, 57902, 100131, 6765, 30652, 85875, 122760, 212781, 112272, 137675, 5790]","[234445, 241321, 103098, 232281, 118771, 235367, 149917, 116478, 237495, 101816, 10377, 47473, 144800, 189505, 129429, 249785, 29052, 241891, 40743, 123704, 159950, 134143, 13043, 69011, 76387, 93035, 96552, 217217, 247320, 157126, 58917, 122245, 48235, 87967, 144402, 5077, 109660, 91396, 6765, 138983, 97805, 111430, 203914, 197157, 227353, 129035, 94379, 27407, 120210, 171745]","[212881, 94251, 102026, 73807, 122853, 181349, 29052, 35237, 151180, 6666, 72679, 218307, 123705, 150019, 103098, 220747, 221104, 187591, 8706, 232829, 6765, 162121, 224295, 61398, 219637, 251617, 35659, 181596, 248058, 249785, 250210, 115704, 48557, 181839, 48713, 30287, 120481, 70641, 104659, 24004, 116522, 11192, 157887, 85574, 144388, 228386, 116049, 119775, 22429, 26659]"
8578,3,"['162428' '214653' '103876' '251234' '220142' '134625' '249517' '60958'
 '139829' '19838']","[161491, 5672, 38898, 165154, 43711, 33543, 234688, 77426, 146310, 129255, 233515, 97725, 78772, 119100, 238904, 78053, 136245, 185308, 207360, 90987, 104791, 65523, 226908, 139164, 207338, 198701, 188497, 70894, 61354, 80251, 140792, 152810, 79832, 48175, 240019, 94181, 204853, 146868, 203067, 63531, 174014, 225357, 125258, 206007, 99656, 26183, 106282, 19243, 173815, 73432]","[19838, 24894, 184931, 87407, 223500, 161280, 89359, 248955, 243346, 111210, 157965, 197258, 164410, 167959, 31247, 29168, 160696, 214963, 220566, 27462, 213519, 39886, 136563, 110177, 37992, 98587, 80901, 7877, 200144, 137529, 151492, 197819, 201659, 208154, 29421, 136149, 233692, 229807, 156638, 6933, 126211, 74170, 204150, 122899, 69803, 245576, 205674, 92090, 250556, 29568]","[28819, 137692, 211634, 31015, 174855, 120271, 233721, 234022, 71045, 151860, 223965, 37805, 138449, 198712, 183622, 76137, 164053, 36161, 178015, 119728, 147673, 238850, 42324, 108300, 170551, 104685, 174919, 109257, 53426, 187661, 152666, 30557, 58726, 244802, 16510, 189101, 111353, 245598, 176710, 198423, 107869, 222739, 197776, 57230, 237718, 68149, 231153, 158473, 14247, 84040]","[28819, 213519, 105501, 172958, 87118, 31015, 168440, 164053, 81169, 177115, 235853, 7953, 90726, 166606, 159098, 249937, 25993, 180759, 138449, 150921, 165870, 65757, 233721, 174855, 157392, 105817, 13810, 211668, 211064, 30557, 245742, 7897, 193890, 91222, 151860, 1953, 248431, 217149, 222813, 245955, 119834, 73703, 68149, 126840, 42993, 124675, 120271, 234560, 130586, 137692]","[24894, 19838, 223500, 184931, 87407, 161280, 89359, 31247, 243346, 167959, 111210, 214963, 39886, 29168, 248955, 98587, 213519, 137529, 220566, 197258, 157965, 7877, 80901, 200144, 164410, 160696, 27462, 156638, 110177, 229807, 151492, 197819, 201659, 233692, 126211, 37992, 74170, 69803, 6933, 33722, 204150, 245576, 29568, 92090, 157392, 136563, 125479, 158205, 136149, 58159]"
8624,3,"['244018' '227765' '188207' '68848' '71308' '73394' '130221' '121720'
 '146926' '22742']","[214053, 6508, 60853, 230954, 98184, 190057, 49284, 29752, 17094, 182609, 219351, 237317, 61937, 26718, 147969, 206410, 148742, 70678, 97616, 76652, 4880, 100906, 27402, 200280, 151590, 5533, 210472, 228523, 31001, 29439, 69995, 171251, 79035, 72997, 109276, 218145, 66076, 37706, 134854, 224182, 69789, 153626, 155719, 194613, 173712, 221844, 91686, 32511, 62835, 144215]","[180201, 191177, 67273, 237495, 35237, 86790, 121753, 235367, 193787, 97864, 215457, 212881, 208248, 174692, 64550, 102192, 221079, 249785, 34094, 110859, 72522, 216374, 148812, 180819, 143682, 130032, 50047, 251617, 80634, 48557, 86135, 122597, 130724, 186690, 103098, 131429, 242528, 184725, 251689, 33445, 153789, 231254, 182505, 24004, 242974, 117652, 183688, 68844, 17731, 149636]","[129186, 29052, 208248, 3939, 168149, 180201, 245084, 26659, 14364, 237495, 97904, 121753, 141508, 151297, 235367, 232281, 176295, 26657, 95510, 122336, 19278, 123704, 60192, 140469, 79059, 33687, 223154, 93035, 250306, 88393, 194008, 219637, 223858, 117402, 58917, 188391, 87806, 169451, 138983, 35237, 57996, 182297, 71107, 145047, 183688, 216354, 82657, 115640, 95724, 29246]","[208248, 235367, 129186, 153676, 97904, 88393, 38256, 247320, 96552, 168149, 180201, 48085, 14364, 227260, 50647, 221728, 130032, 79059, 26657, 58917, 235670, 245084, 58351, 142344, 57902, 151297, 185239, 136468, 25286, 84044, 141508, 162254, 218275, 232281, 225394, 210957, 93933, 6447, 83924, 95724, 154321, 129035, 228154, 29246, 80445, 117402, 68270, 24205, 126456, 194684]","[180201, 191177, 35237, 67273, 235367, 86790, 237495, 97864, 72522, 193787, 64550, 121753, 174692, 208248, 212881, 102192, 86135, 50047, 215457, 16769, 131429, 48557, 34094, 148812, 143682, 249785, 103098, 68844, 33445, 130724, 251617, 183688, 130032, 80634, 184785, 186690, 216374, 8706, 229551, 122597, 73807, 110859, 24004, 17731, 231254, 184725, 208382, 168606, 14975, 117652]"
8628,3,"['220918' '207784' '133888' '125282' '177055' '56322' '177931' '157887'
 '147304' '61482']","[251785, 50929, 247063, 234775, 19659, 111286, 225735, 118532, 215147, 133296, 218167, 242311, 62750, 4474, 237048, 236671, 29152, 203788, 225137, 121235, 211508, 21674, 207968, 96468, 12642, 237435, 69048, 231777, 240240, 178915, 171100, 148350, 222213, 234517, 235317, 136196, 177361, 132185, 212388, 71044, 44186, 3533, 44223, 74848, 197963, 161809, 132607, 106697, 112945, 164087]","[38245, 4645, 246081, 56322, 97130, 135948, 115065, 135471, 208248, 136468, 31007, 173821, 148753, 168341, 208658, 10137, 130032, 108071, 237495, 180201, 46380, 74117, 184315, 116049, 80118, 247450, 202104, 217339, 206400, 237951, 77995, 177055, 6765, 52260, 176751, 67401, 459, 241625, 104659, 86863, 232729, 231587, 169451, 103098, 102026, 181596, 11321, 157693, 83460, 53442]","[97130, 177055, 175642, 76387, 151898, 178920, 64892, 26657, 17801, 135471, 47081, 169451, 136468, 30099, 114648, 217071, 129186, 184315, 58897, 102475, 168149, 165802, 44021, 144673, 145047, 218810, 148380, 71107, 124512, 27063, 68823, 241395, 216270, 174557, 108569, 208382, 85299, 168341, 133045, 117402, 6424, 46380, 232845, 248148, 84350, 63759, 109202, 130032, 46071, 87043]","[153676, 177055, 97130, 129035, 123259, 136468, 72286, 235354, 129186, 174557, 26201, 130032, 84350, 150640, 10939, 151898, 58351, 44021, 168240, 133045, 237951, 218810, 189358, 116728, 135948, 19789, 22771, 208382, 88626, 169034, 3884, 80118, 26657, 185602, 125036, 185765, 32962, 238586, 89807, 85001, 178920, 84219, 159929, 127062, 165802, 94992, 133974, 184315, 251229, 40291]","[38245, 4645, 246081, 97130, 115065, 56322, 208248, 135948, 135471, 173821, 136468, 168341, 31007, 10137, 148753, 130032, 108071, 46380, 80118, 74117, 237495, 6765, 180201, 184315, 206400, 237951, 176751, 116049, 208658, 67401, 77995, 177055, 202104, 241625, 247450, 52260, 217339, 103098, 459, 86863, 104659, 231587, 202106, 152463, 11321, 102026, 168606, 235367, 218685, 238860]"
8637,2,"['84617' '217944' '34032' '223524' '119603' '1753' '99171' '163695'
 '100372' '28929']","[69529, 209331, 62721, 206962, 42063, 25496, 213680, 50003, 191640, 45906, 145638, 157082, 104140, 168969, 250031, 89963, 187658, 207568, 70395, 113568, 9076, 219371, 50900, 202133, 54676, 40977, 10746, 164575, 168547, 175149, 70180, 83010, 55321, 230829, 6452, 111614, 159291, 27834, 133263, 210090, 101643, 154039, 26867, 102534, 198463, 234950, 116273, 96661, 6729, 41184]","[232829, 251617, 115704, 61398, 202567, 235251, 178754, 220747, 123985, 172218, 250210, 243676, 219637, 50040, 56073, 130606, 249070, 109155, 181016, 219293, 184018, 88467, 188065, 14306, 213691, 34319, 113137, 31550, 64204, 94251, 74022, 224295, 102680, 6200, 228386, 14025, 88393, 87806, 123705, 55826, 174467, 224422, 47657, 72145, 89133, 73807, 180091, 207476, 50524, 111610]","[208248, 115475, 237495, 208960, 86497, 69460, 33199, 223858, 216809, 232281, 69416, 219637, 14364, 246657, 150744, 129429, 39531, 137497, 2097, 64166, 139486, 226926, 167186, 67191, 234445, 121437, 22708, 72973, 245084, 244061, 106017, 97301, 21289, 83517, 38864, 165876, 17079, 110641, 112422, 27636, 56370, 211433, 215392, 89210, 10249, 9978, 52357, 224696, 209650, 101489]","[208248, 240182, 10113, 234445, 101816, 129429, 16023, 53201, 64166, 63352, 144800, 246990, 96552, 27701, 104510, 71114, 250382, 211433, 248452, 127007, 63221, 232281, 147415, 241321, 223832, 191177, 10377, 249785, 83954, 107627, 119775, 35237, 86421, 140689, 66971, 191747, 122708, 188391, 172662, 203517, 215457, 103098, 132823, 142482, 44263, 78929, 137497, 57996, 97301, 105264]","[232829, 251617, 115704, 61398, 202567, 235251, 178754, 220747, 250210, 123985, 172218, 56073, 249070, 243676, 188065, 130606, 219637, 50040, 184018, 109155, 219293, 34319, 181016, 88467, 213691, 14306, 31550, 64204, 224295, 228386, 94251, 113137, 174467, 55826, 14025, 123705, 132812, 74022, 88393, 6200, 73807, 9975, 224422, 194677, 72145, 191313, 48713, 216260, 102680, 47657]"
8658,2,"['132015' '157010' '235541' '249462' '220362' '197426' '32404' '56983'
 '20261' '221517']","[135747, 32681, 62973, 191582, 103931, 230314, 135540, 212407, 4154, 116134, 211208, 114759, 186301, 165603, 80250, 190868, 229474, 132862, 107028, 126141, 104656, 242004, 45859, 1064, 205453, 208345, 8004, 91129, 138593, 29215, 33227, 162874, 247483, 82467, 237268, 247518, 30516, 169983, 52538, 211083, 130961, 233264, 188180, 241757, 131598, 230959, 79538, 107724, 1589, 130589]","[131216, 203557, 237495, 250946, 68922, 140314, 146644, 17976, 134758, 195884, 14975, 75949, 241171, 176926, 218755, 90768, 174543, 187773, 58505, 63084, 50047, 221079, 235367, 68192, 86790, 32765, 191316, 16769, 5894, 64550, 237415, 156348, 56172, 234425, 54047, 116049, 72522, 231797, 187276, 171781, 250306, 66282, 36171, 190816, 216252, 32258, 216374, 149530, 243930, 84826]","[237818, 208248, 123797, 71907, 19278, 191269, 232281, 237495, 156298, 248305, 73914, 90967, 106903, 63230, 24035, 86283, 250306, 149917, 86135, 145235, 227647, 112273, 9705, 43346, 29052, 166690, 121796, 241787, 187773, 135090, 96623, 245084, 186883, 111321, 185141, 252057, 84939, 226655, 249970, 46586, 163024, 93035, 116095, 83741, 75949, 20003, 87992, 54630, 47250, 74662]","[237818, 237495, 156298, 191269, 31218, 168451, 250306, 177254, 123133, 71907, 37532, 184195, 51129, 124237, 208248, 173630, 21189, 49666, 245084, 177397, 190011, 99318, 83741, 218965, 131429, 59169, 99299, 199756, 16769, 34573, 54119, 123797, 134092, 248305, 116722, 115552, 203494, 122425, 126462, 65052, 93385, 162745, 229791, 84600, 91361, 48249, 202692, 113059, 143123, 71128]","[131216, 203557, 237495, 250946, 68922, 146644, 17976, 75949, 140314, 134758, 195884, 90768, 221079, 86790, 176926, 63084, 250306, 241171, 174543, 237415, 16769, 218755, 14975, 187773, 5894, 156348, 191316, 32765, 216374, 56172, 68192, 58505, 190816, 50047, 231797, 235367, 171781, 66282, 234425, 87387, 77655, 54047, 8445, 216252, 187276, 210354, 53497, 32258, 149530, 153308]"
8670,2,"['250306' '36103' '168186' '182651' '196485' '218750' '234471' '74038'
 '123133' '96809']","[217191, 172983, 267, 97294, 52461, 106622, 70877, 69036, 107297, 125993, 184735, 122299, 201847, 224387, 184298, 717, 234763, 21195, 85778, 122429, 45132, 124363, 31476, 34688, 155865, 231415, 175597, 104964, 60842, 95494, 17610, 71745, 206172, 85809, 20669, 193594, 214308, 224624, 150587, 98495, 159235, 10901, 118016, 1096, 125066, 200080, 107702, 173874, 205211, 137949]","[86790, 250306, 230184, 218755, 210354, 103098, 7627, 82682, 65433, 5894, 70529, 151584, 68163, 129996, 184725, 104413, 191177, 19825, 86135, 216240, 209437, 241787, 251689, 99481, 30051, 191316, 131429, 149917, 77655, 234471, 40301, 204678, 62064, 164641, 234425, 122751, 4153, 49453, 130094, 6089, 139096, 184979, 121753, 45282, 217892, 182651, 62757, 193787, 191426, 130724]","[237818, 208248, 250306, 36171, 156298, 71907, 93035, 19278, 63230, 237495, 219881, 232281, 194633, 245084, 149917, 191269, 97904, 123797, 145179, 126197, 190011, 26659, 180201, 123133, 33309, 221079, 29052, 230729, 86790, 53497, 235367, 54119, 73914, 54630, 248305, 64550, 35237, 106903, 232001, 212343, 61364, 134172, 248921, 169067, 39491, 47250, 246233, 142807, 90967, 195884]","[250306, 237495, 191269, 156298, 237818, 168451, 149917, 26659, 123797, 31218, 232281, 53497, 71907, 16769, 221079, 83741, 173630, 51129, 93035, 123133, 86135, 37532, 162254, 54119, 245084, 203253, 208248, 131429, 34573, 124237, 21189, 36171, 147415, 164095, 99318, 64550, 120212, 184195, 177254, 49453, 235367, 203494, 193787, 48249, 46586, 50047, 63230, 219500, 93385, 248305]","[86790, 250306, 230184, 210354, 218755, 103098, 7627, 65433, 5894, 70529, 82682, 151584, 68163, 184725, 191177, 104413, 129996, 209437, 19825, 86135, 216240, 251689, 241787, 131429, 30051, 149917, 204678, 40301, 191316, 234471, 99481, 77655, 62064, 122751, 234425, 164641, 130094, 49453, 4153, 6089, 139096, 184979, 130724, 193787, 63084, 3065, 45282, 62757, 217892, 236977]"
8678,2,"['153387' '169595' '183451' '173091' '222318' '49362' '145134' '247659'
 '249970' '67100']","[215300, 12723, 135662, 124462, 24650, 140954, 161266, 36330, 9105, 96691, 24659, 116514, 165534, 191661, 8942, 173939, 238872, 80296, 44915, 171761, 63437, 148049, 200420, 47952, 181767, 14937, 151341, 4357, 97232, 7135, 251905, 102670, 32931, 22143, 40810, 75828, 63756, 23330, 66872, 138577, 245284, 16907, 10794, 58623, 58918, 27658, 68292, 30783, 225137, 225554]","[235367, 250306, 50047, 237495, 53497, 58505, 84826, 54047, 203557, 116049, 221079, 216252, 151584, 237415, 216374, 203253, 86135, 191177, 166690, 90973, 210354, 140314, 62064, 82682, 99868, 209437, 7627, 230184, 131429, 68163, 16252, 130724, 65143, 242528, 70529, 232281, 190816, 77655, 219734, 6089, 190899, 180201, 153789, 169595, 46586, 102443, 122751, 149530, 65433, 45282]","[237818, 250306, 208248, 71907, 19278, 93035, 29052, 156298, 245084, 237495, 232281, 145179, 123797, 36171, 149917, 249970, 219881, 180201, 123133, 97904, 194633, 191269, 1578, 63230, 26659, 63352, 248305, 230729, 142807, 126197, 221079, 123704, 190011, 86790, 219500, 50662, 106903, 250011, 33309, 218402, 244454, 64550, 24035, 169067, 235367, 73914, 39491, 79145, 212343, 138601]","[250306, 237495, 191269, 237818, 232281, 26659, 71907, 156298, 123797, 31218, 245084, 149917, 53497, 208248, 54119, 123133, 63230, 168451, 86135, 221079, 51129, 190011, 143123, 93035, 193787, 16769, 203494, 83741, 64550, 120212, 250011, 147415, 131429, 19278, 162254, 218275, 219500, 113059, 203253, 63221, 59169, 48249, 184195, 235367, 37532, 21189, 218965, 203643, 29052, 86790]","[235367, 237495, 250306, 50047, 84826, 54047, 53497, 116049, 58505, 221079, 216252, 151584, 203557, 203253, 216374, 166690, 210354, 86135, 237415, 68163, 82682, 7627, 140314, 99868, 90973, 62064, 209437, 6089, 122751, 77655, 16252, 131429, 191177, 190899, 65143, 230184, 232281, 153789, 46586, 70529, 83741, 65433, 219734, 5894, 242528, 149530, 74662, 229720, 156348, 169595]"
8682,3,"['74081' '107556' '25767' '171428' '99195' '80679' '130606' '1335' '12590'
 '60242']","[10302, 81924, 99839, 58616, 234473, 77034, 29545, 173504, 193913, 145783, 154400, 190488, 56174, 50888, 183742, 213420, 151329, 133347, 163846, 179188, 203447, 174580, 168727, 168632, 221155, 28971, 46530, 250694, 64452, 210669, 77480, 192511, 50861, 192998, 139077, 33209, 80325, 123077, 142913, 243429, 87812, 193961, 146306, 63812, 236299, 44433, 48771, 81827, 85743, 118816]","[121753, 180201, 24902, 45282, 208248, 212881, 181596, 242528, 168606, 116049, 103098, 247450, 201211, 67273, 10765, 191177, 118317, 104413, 102026, 115704, 251617, 54047, 48207, 232829, 219637, 181640, 85947, 237495, 61398, 124237, 99481, 35659, 48557, 249785, 104659, 149636, 229720, 170436, 184725, 72522, 20673, 85574, 172218, 180819, 191313, 202567, 191316, 94251, 73807, 181349]","[208248, 245084, 250306, 129186, 237495, 72973, 14364, 88393, 180201, 176295, 210624, 168149, 119674, 86497, 111552, 79059, 26657, 243869, 174796, 97301, 71107, 121753, 3939, 223154, 151297, 33687, 130032, 59604, 11444, 219637, 169451, 93429, 5256, 82657, 207476, 29246, 177736, 81530, 72820, 213671, 57996, 232281, 141508, 191313, 216354, 145047, 178920, 149636, 87806, 237942]","[96552, 208248, 153676, 129186, 249785, 250382, 14364, 191313, 1018, 151297, 235367, 245084, 88393, 38256, 250306, 26659, 203643, 218275, 130032, 137291, 223858, 232281, 180201, 97904, 194008, 29246, 184159, 57902, 35237, 79059, 112272, 218657, 50647, 58351, 243869, 123773, 27407, 9052, 136468, 194450, 228478, 48085, 53989, 29806, 104302, 83712, 32317, 168341, 225394, 80445]","[121753, 24902, 180201, 45282, 10765, 212881, 242528, 208248, 191177, 181596, 249785, 116049, 102026, 237495, 247450, 67273, 115704, 201211, 118317, 149636, 191313, 6666, 235367, 104413, 85947, 103098, 61398, 72522, 83411, 181640, 48557, 219637, 203253, 232829, 181349, 94251, 168606, 122853, 233897, 224295, 215457, 251617, 207513, 20673, 172218, 35659, 202567, 209750, 250306, 225936]"
8685,1,"['20108' '154908' '49453' '172612' '7320' '138601' '72792' '32119' '37981'
 '74607']","[80763, 9014, 166947, 44415, 94890, 162238, 93732, 6866, 211122, 94052, 175090, 234052, 168603, 23486, 215187, 200727, 218986, 180902, 158653, 113749, 86051, 134702, 135605, 63662, 14914, 92866, 2090, 181068, 105092, 9192, 123344, 107573, 110336, 174486, 155282, 249679, 49587, 157163, 116989, 198428, 31699, 47140, 82879, 166524, 55384, 244425, 15131, 188986, 31234, 24559]","[237495, 64550, 203557, 237415, 53497, 14975, 203253, 72522, 35237, 140314, 30051, 190816, 193787, 216252, 153789, 184725, 230184, 68844, 215457, 218755, 65433, 130724, 5894, 209437, 7627, 90973, 19825, 131429, 27071, 45282, 49453, 68163, 40301, 241787, 151584, 232281, 191316, 166690, 250666, 249109, 251689, 155439, 130094, 62064, 149917, 234425, 143095, 158927, 234471, 6089]","[29052, 250306, 208248, 26659, 237495, 93035, 180201, 219881, 36171, 221079, 53497, 149917, 123704, 86790, 251276, 71907, 235367, 245084, 241891, 232281, 33309, 163621, 154312, 82821, 19278, 156298, 58917, 121753, 230729, 63352, 97904, 194633, 242528, 4153, 248305, 21189, 190011, 235722, 126197, 164095, 218275, 234445, 169067, 191269, 130724, 50047, 54119, 162254, 246233, 10377]","[26659, 250306, 86790, 149917, 232281, 191269, 229720, 208248, 13597, 218275, 169201, 93035, 237495, 25286, 164095, 234425, 36171, 221079, 46586, 96552, 242528, 207754, 162254, 53497, 110708, 193787, 86135, 63221, 235367, 156298, 11359, 147415, 48249, 50047, 1201, 3584, 99318, 31218, 154312, 51129, 55240, 124237, 29052, 53989, 237818, 49453, 194633, 245084, 3939, 121136]","[237495, 64550, 203557, 237415, 53497, 14975, 72522, 140314, 203253, 35237, 193787, 30051, 65433, 216252, 153789, 209437, 184725, 190816, 68844, 230184, 130724, 5894, 218755, 131429, 215457, 241787, 90973, 27071, 249109, 7627, 19825, 49453, 232281, 166690, 40301, 191316, 151584, 68163, 45282, 155439, 251689, 250666, 62064, 130094, 234425, 143095, 149917, 234471, 6089, 122751]"
